FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CBBTCUSD,"Coinbase Bitcoin, U.S. Dollars, Daily, Not Seasonally Adjusted"
,
"Frequency: Daily, 7-Day",
observation_date,CBBTCUSD
2/3/19,3809.7
3/3/19,3786.93
4/3/19,3700.72
5/3/19,3844.59
6/3/19,3851.89
7/3/19,3857.05
8/3/19,3843.12
9/3/19,3917
10/3/19,3900.93
11/3/19,3849.68
12/3/19,3860
13/3/19,3851.02
14/3/19,3853.95
15/3/19,3902.8
16/3/19,3990
17/3/19,3967.01
18/3/19,3970.5
19/3/19,4000.85
20/3/19,4031.85
21/3/19,3972.76
22/3/19,3983.78
23/3/19,3983.43
24/3/19,3969.52
25/3/19,3907.53
26/3/19,3921.45
27/3/19,4026.53
28/3/19,4011.17
29/3/19,4091.01
30/3/19,4094.14
31/3/19,4094.99
1/4/19,4137
2/4/19,4901.93
3/4/19,4975.97
4/4/19,4906.49
5/4/19,5040.66
6/4/19,5049.22
7/4/19,5194.79
8/4/19,5285.54
9/4/19,5187.21
10/4/19,5318.58
11/4/19,5041.3
12/4/19,5078.19
13/4/19,5066.22
14/4/19,5164.27
15/4/19,5029.99
16/4/19,5202.9
17/4/19,5227
18/4/19,5280.49
19/4/19,5290.36
20/4/19,5319.89
21/4/19,5297.64
22/4/19,5387.6
23/4/19,5532.75
24/4/19,5441.9
25/4/19,5134.81
26/4/19,5159.51
27/4/19,5170.6
28/4/19,5155
29/4/19,5148.25
30/4/19,5270.69
1/5/19,5321.15
2/5/19,5390.01
3/5/19,5657.4
4/5/19,5770.01
5/5/19,5715.86
6/5/19,5687.9
7/5/19,5748.45
8/5/19,5948.41
9/5/19,6153.09
10/5/19,6343.14
11/5/19,7219.95
12/5/19,6979.76
13/5/19,7824.93
14/5/19,7990.92
15/5/19,8203.32
16/5/19,7878.96
17/5/19,7363.69
18/5/19,7262.4
19/5/19,8200
20/5/19,7999.54
21/5/19,7951.7
22/5/19,7626.48
23/5/19,7881.98
24/5/19,7994.88
25/5/19,8067.41
26/5/19,8760.03
27/5/19,8783.25
28/5/19,8686.5
29/5/19,8660.5
30/5/19,8273.57
31/5/19,8550.18
1/6/19,8558.01
2/6/19,8741.17
3/6/19,8015.01
4/6/19,7688.26
5/6/19,7766.91
6/6/19,7812.15
7/6/19,7992.17
8/6/19,7938.64
9/6/19,7623.84
10/6/19,8046.13
11/6/19,7918.2
12/6/19,8169.01
13/6/19,8256
14/6/19,8693.98
15/6/19,8861.33
16/6/19,8996.95
17/6/19,9346.47
18/6/19,9089.99
19/6/19,9283.99
20/6/19,9542.6
21/6/19,10175.88
22/6/19,10658.3
23/6/19,10808.53
24/6/19,11040.03
25/6/19,11736.99
26/6/19,12902.52
27/6/19,11127.4
28/6/19,12317.73
29/6/19,11913.73
30/6/19,10778.74
1/7/19,10570.62
2/7/19,10885.01
